AssessmentProductID,ProductID,ReturnedProductID,AssessmentDate,TotalResaleableProduct,DamageLevelScore
00001,00121,00121,2024/02/05,0,2
00002,00114,00114,2024/07/19,5,2
00003,00126,00126,2024/04/30,1,4
00004,00147,00147,2024/04/02,0,2
00005,00205,00205,2024/10/29,1,3
00006,00120,00120,2024/12/29,0,4
00007,00133,00133,2024/11/16,0,2
00008,00024,00024,2025/01/02,2,3
00009,00226,00226,2024/04/19,9,1
00010,00115,00115,2024/03/02,9,1
00011,00164,00164,2024/02/29,3,4
00012,00241,00241,2024/11/23,4,2
00013,00020,00020,2024/04/16,1,1
00014,00018,00018,2024/01/08,4,3
00015,00028,00028,2024/05/12,1,2
00016,00190,00190,2024/05/15,0,2
00017,00008,00008,2024/08/05,0,1
00018,00091,00091,2024/04/30,0,3
00019,00209,00209,2024/05/09,1,3
00020,00244,00244,2024/11/07,2,5
00021,00258,00258,2024/07/09,0,4
00022,00251,00251,2024/07/02,1,2
00023,00060,00060,2024/05/19,8,3
00024,00057,00057,2024/03/22,2,1
00025,00178,00178,2024/09/24,7,5
00026,00151,00151,2024/10/04,1,5
00027,00048,00048,2024/11/13,6,4
00028,00169,00169,2024/10/15,5,1
00029,00058,00058,2024/04/27,1,1
00030,00284,00284,2024/02/08,2,3
00031,00177,00177,2024/07/26,0,3
00032,00010,00010,2024/09/14,2,2
00033,00200,00200,2024/06/18,4,4
00034,00104,00104,2024/01/24,2,5
00035,00090,00090,2024/04/22,1,1
00036,00187,00187,2024/01/08,1,3
00037,00045,00045,2024/01/21,0,2
00038,00013,00013,2024/11/17,1,4
00039,00031,00031,2024/04/21,0,4
00040,00281,00281,2024/05/11,3,3
00041,00140,00140,2024/08/20,5,3
00042,00116,00116,2024/12/12,0,2
00043,00223,00223,2024/09/27,0,2
00044,00156,00156,2024/12/27,0,3
00045,00009,00009,2024/11/25,8,2
00046,00298,00298,2024/01/28,0,3
00047,00092,00092,2024/11/01,0,5
00048,00133,00133,2024/03/14,2,1
00049,00072,00072,2024/06/21,5,3
00050,00299,00299,2024/11/03,0,3
00051,00084,00084,2024/07/10,4,3
00052,00063,00063,2024/08/04,1,3
00053,00097,00097,2024/08/14,3,5
00054,00075,00075,2024/10/01,1,5
00055,00056,00056,2024/01/05,5,5
00056,00178,00178,2024/02/16,0,5
00057,00236,00236,2024/03/30,0,1
00058,00091,00091,2024/01/26,2,5
00059,00190,00190,2024/08/21,5,3
00060,00082,00082,2024/09/14,0,2
00061,00220,00220,2024/10/16,1,3
00062,00150,00150,2024/01/13,5,3
00063,00109,00109,2024/11/24,0,4
00064,00164,00164,2024/02/26,6,1
00065,00157,00157,2024/08/16,1,4
00066,00296,00296,2024/10/23,3,5
00067,00092,00092,2024/03/31,8,1
00068,00286,00286,2024/06/10,0,1
00069,00051,00051,2024/06/17,2,1
00070,00142,00142,2024/04/11,3,2
00071,00141,00141,2024/05/05,1,2
00072,00020,00020,2024/06/02,0,1
00073,00040,00040,2024/04/09,2,4
00074,00241,00241,2024/06/26,9,2
00075,00191,00191,2024/07/11,2,2
00076,00269,00269,2024/04/24,2,4
00077,00287,00287,2024/09/10,2,1
00078,00128,00128,2024/08/14,4,2
00079,00054,00054,2024/08/09,2,3
00080,00273,00273,2024/04/12,0,3
00081,00178,00178,2024/09/14,2,4
00082,00198,00198,2024/09/30,0,5
00083,00122,00122,2024/12/21,0,3
00084,00022,00022,2024/10/13,0,4
00085,00273,00273,2024/02/27,2,2
00086,00060,00060,2024/04/21,0,3
00087,00174,00174,2024/08/08,2,1
00088,00005,00005,2024/06/09,0,2
00089,00157,00157,2024/03/18,2,2
00090,00261,00261,2024/11/29,1,1
00091,00276,00276,2024/05/14,0,3
00092,00238,00238,2024/07/11,0,2
00093,00293,00293,2024/01/21,1,3
00094,00237,00237,2024/09/02,8,5
00095,00070,00070,2024/12/29,5,3
00096,00162,00162,2025/01/01,3,5
00097,00297,00297,2024/04/16,0,1
00098,00072,00072,2024/12/23,1,3
00099,00161,00161,2024/07/05,1,4
00100,00145,00145,2024/09/28,1,4
00101,00078,00078,2024/12/16,0,5
00102,00191,00191,2024/06/22,1,1
00103,00006,00006,2024/02/09,7,2
00104,00217,00217,2024/12/22,3,5
00105,00101,00101,2024/11/21,0,2
00106,00241,00241,2024/05/09,1,3
00107,00039,00039,2025/01/03,0,5
00108,00066,00066,2024/01/20,5,5
00109,00169,00169,2024/10/30,0,1
00110,00147,00147,2024/05/20,0,2
00111,00252,00252,2024/12/04,5,3
00112,00201,00201,2024/08/18,7,2
00113,00263,00263,2024/12/23,2,1
00114,00291,00291,2024/07/28,1,2
00115,00020,00020,2024/06/11,0,5
00116,00215,00215,2024/10/10,1,4
00117,00298,00298,2024/07/25,2,1
00118,00049,00049,2024/12/08,3,4
00119,00203,00203,2024/12/10,2,5
00120,00013,00013,2024/06/09,0,4
00121,00197,00197,2024/03/15,0,4
00122,00062,00062,2024/03/20,1,3
00123,00018,00018,2024/08/31,4,2
00124,00139,00139,2024/12/26,8,2
00125,00146,00146,2024/04/11,0,3
00126,00081,00081,2024/06/18,5,4
00127,00111,00111,2024/03/01,3,2
00128,00063,00063,2024/09/21,1,3
00129,00294,00294,2024/03/07,1,1
00130,00167,00167,2024/07/24,2,4
00131,00203,00203,2024/05/19,1,4
00132,00281,00281,2024/12/25,6,4
00133,00243,00243,2024/06/03,7,4
00134,00050,00050,2024/09/11,8,5
00135,00051,00051,2024/09/02,0,1
00136,00240,00240,2024/12/07,1,2
00137,00076,00076,2024/06/08,4,1
00138,00103,00103,2024/08/14,1,3
00139,00048,00048,2024/04/06,3,4
00140,00032,00032,2024/02/17,1,4
00141,00293,00293,2024/12/24,7,5
00142,00140,00140,2024/02/04,4,4
00143,00018,00018,2024/01/18,3,1
00144,00239,00239,2024/05/27,0,3
00145,00207,00207,2024/12/28,6,4
00146,00186,00186,2024/12/21,3,2
00147,00240,00240,2024/03/14,0,2
00148,00011,00011,2024/04/29,3,3
00149,00109,00109,2024/03/30,0,3
00150,00290,00290,2024/05/24,1,1
00151,00105,00105,2024/08/25,1,1
00152,00123,00123,2024/07/03,1,2
00153,00183,00183,2024/06/20,3,1
00154,00094,00094,2024/06/28,1,3
