CustomerEligibilityID,ProductPrice,Date,ProductID,CustomerID,ProductQuantity,TotalSales
00001,60,2024/02/03,00121,00786,6,360
00002,50,2024/07/08,00114,00130,8,400
00003,90,2024/04/15,00126,00451,4,360
00004,100,2024/03/18,00147,00415,3,300
00005,60,2024/10/16,00205,00721,3,180
00006,90,2024/12/15,00120,00822,9,810
00007,50,2024/10/29,00133,00341,2,100
00008,90,2024/12/19,00024,00634,5,450
00009,60,2024/04/06,00226,00736,12,720
00010,80,2024/02/23,00115,00240,14,1120
00011,30,2024/02/15,00164,00298,15,450
00012,30,2024/11/09,00241,00605,6,180
00013,100,2024/04/08,00020,00901,8,800
00014,60,2024/01/01,00018,00812,9,540
00015,40,2024/05/04,00028,00869,4,160
00016,80,2024/05/09,00190,00483,15,1200
00017,100,2024/07/25,00008,00389,9,900
00018,30,2024/04/24,00091,00202,11,330
00019,30,2024/05/09,00209,00351,5,150
00020,30,2024/10/29,00244,00115,6,180
00021,100,2024/06/26,00258,00150,10,1000
00022,70,2024/06/20,00251,00759,10,700
00023,30,2024/05/12,00060,00783,12,360
00024,60,2024/03/05,00057,00693,8,480
00025,60,2024/09/16,00178,00293,13,780
00026,90,2024/09/28,00151,00026,4,360
00027,40,2024/11/04,00048,00138,12,480
00028,70,2024/10/11,00169,00112,13,910
00029,80,2024/04/13,00058,00484,6,480
00030,100,2024/02/02,00284,00383,7,700
00031,40,2024/07/20,00177,00673,7,280
00032,40,2024/08/26,00010,00996,9,360
00033,80,2024/06/14,00200,00281,8,640
00034,30,2024/01/10,00104,00822,6,180
00035,50,2024/04/17,00090,00669,2,100
00036,90,2024/01/06,00187,00756,12,1080
00037,100,2024/01/10,00045,00141,6,600
00038,60,2024/11/11,00013,00313,4,240
00039,40,2024/04/17,00031,00588,9,360
00040,90,2024/05/04,00281,00380,7,630
00041,100,2024/08/07,00140,00574,12,1200
00042,70,2024/12/05,00116,00261,13,910
00043,70,2024/09/10,00223,00613,3,210
