InventoryID,ProductValue,RestockQuantity,CurrentQuantity,Date,ProductID,SupplierID
00001,60,4,54,2024/01/01,00001,00010
00002,40,4,37,2024/02/01,00001,00010
00003,50,4,30,2024/03/01,00001,00010
00004,40,7,41,2024/04/01,00001,00010
00005,50,0,39,2024/05/01,00001,00010
00006,50,10,99,2024/06/01,00001,00010
00007,60,1,95,2024/07/01,00001,00010
00008,90,0,85,2024/08/01,00001,00010
00009,40,10,81,2024/09/01,00001,00010
00010,70,6,80,2024/10/01,00001,00010
00011,40,0,76,2024/11/01,00001,00010
00012,50,0,76,2024/12/01,00001,00010
00013,50,0,50,2024/01/01,00002,00038
00014,100,0,41,2024/02/01,00002,00038
00015,90,4,45,2024/03/01,00002,00038
00016,100,1,41,2024/04/01,00002,00038
00017,80,8,36,2024/05/01,00002,00038
00018,30,0,90,2024/06/01,00002,00038
00019,40,2,92,2024/07/01,00002,00038
00020,70,0,89,2024/08/01,00002,00038
00021,60,0,83,2024/09/01,00002,00038
00022,80,3,86,2024/10/01,00002,00038
00023,80,3,84,2024/11/01,00002,00038
00024,40,0,77,2024/12/01,00002,00038
00025,100,0,50,2024/01/01,00003,00008
00026,70,0,50,2024/02/01,00003,00008
00027,60,2,52,2024/03/01,00003,00008
00028,100,0,46,2024/04/01,00003,00008
00029,40,8,54,2024/05/01,00003,00008
00030,30,8,88,2024/06/01,00003,00008
00031,30,0,96,2024/07/01,00003,00008
00032,60,9,94,2024/08/01,00003,00008
00033,60,1,94,2024/09/01,00003,00008
00034,50,0,90,2024/10/01,00003,00008
00035,50,5,95,2024/11/01,00003,00008
00036,80,2,77,2024/12/01,00003,00008
00037,100,0,50,2024/01/01,00004,00091
00038,100,0,50,2024/02/01,00004,00091
00039,90,0,50,2024/03/01,00004,00091
00040,70,0,50,2024/04/01,00004,00091
00041,40,15,65,2024/05/01,00004,00091
00042,100,0,108,2024/06/01,00004,00091
00043,100,0,108,2024/07/01,00004,00091
00044,50,0,102,2024/08/01,00004,00091
00045,100,0,102,2024/09/01,00004,00091
00046,80,0,88,2024/10/01,00004,00091
00047,90,6,86,2024/11/01,00004,00091
00048,100,0,88,2024/12/01,00004,00091
00049,80,7,57,2024/01/01,00005,00065
00050,50,0,49,2024/02/01,00005,00065
00051,100,6,42,2024/03/01,00005,00065
00052,90,0,48,2024/04/01,00005,00065
00053,100,4,40,2024/05/01,00005,00065
00054,100,9,103,2024/06/01,00005,00065
00055,100,1,95,2024/07/01,00005,00065
00056,90,0,91,2024/08/01,00005,00065
00057,40,9,100,2024/09/01,00005,00065
00058,30,2,98,2024/10/01,00005,00065
00059,30,4,96,2024/11/01,00005,00065
00060,70,0,84,2024/12/01,00005,00065
00061,50,2,52,2024/01/01,00006,00074
00062,40,8,40,2024/02/01,00006,00074
00063,30,1,49,2024/03/01,00006,00074
00064,70,8,52,2024/04/01,00006,00074
00065,100,0,50,2024/05/01,00006,00074
00066,70,0,100,2024/06/01,00006,00074
00067,30,8,96,2024/07/01,00006,00074
00068,80,6,110,2024/08/01,00006,00074
00069,50,0,92,2024/09/01,00006,00074
00070,60,9,94,2024/10/01,00006,00074
00071,50,11,102,2024/11/01,00006,00074
