UniqueProductID,CustomerID,ReturnProductID,SupplierID,ReturnDate,ReturnQuantity,TotalReturn
00001,00786,00121,00003,2024/02/04,4,240
00002,00130,00114,00077,2024/07/18,6,300
00003,00451,00126,00065,2024/04/27,1,90
00004,00415,00147,00009,2024/03/28,1,100
00005,00721,00205,00030,2024/10/29,2,120
00006,00822,00120,00053,2024/12/28,6,540
00007,00341,00133,00078,2024/11/12,1,50
00008,00634,00024,00036,2024/12/28,4,360
00009,00736,00226,00059,2024/04/17,9,540
00010,00240,00115,00094,2024/02/27,9,720
00011,00298,00164,00074,2024/02/24,10,300
00012,00605,00241,00072,2024/11/22,4,120
00013,00901,00020,00023,2024/04/11,3,300
00014,00812,00018,00093,2024/01/04,7,420
00015,00869,00028,00056,2024/05/12,1,40
00016,00483,00190,00026,2024/05/10,10,800
00017,00389,00008,00068,2024/08/04,7,700
00018,00202,00091,00084,2024/04/27,9,270
00019,00351,00209,00084,2024/05/09,1,30
00020,00115,00244,00070,2024/11/02,5,150
00021,00150,00258,00001,2024/07/06,7,700
00022,00759,00251,00017,2024/06/29,6,420
00023,00783,00060,00100,2024/05/18,8,240
00024,00693,00057,00031,2024/03/19,6,360
00025,00293,00178,00008,2024/09/24,10,600
00026,00026,00151,00051,2024/10/02,3,270
00027,00138,00048,00056,2024/11/11,7,280
00028,00112,00169,00077,2024/10/13,8,560
00029,00484,00058,00070,2024/04/25,2,160
00030,00383,00284,00007,2024/02/07,4,400
00031,00673,00177,00038,2024/07/24,3,120
00032,00996,00010,00012,2024/09/09,7,280
00033,00281,00200,00087,2024/06/18,5,400
00034,00822,00104,00083,2024/01/24,3,90
00035,00669,00090,00040,2024/04/19,1,50
00036,00756,00187,00078,2024/01/07,9,810
00037,00141,00045,00017,2024/01/17,5,500
00038,00313,00013,00058,2024/11/12,1,60
00039,00588,00031,00001,2024/04/20,6,240
00040,00380,00281,00081,2024/05/06,6,540
00041,00574,00140,00061,2024/08/17,8,800
00042,00261,00116,00058,2024/12/11,10,700
00043,00613,00223,00039,2024/09/22,1,70
00044,00642,00156,00005,2024/12/22,1,30
00045,00908,00009,00002,2024/11/25,10,600
00046,00935,00298,00014,2024/01/28,2,160
00047,00024,00092,00089,2024/10/30,4,200
00048,00734,00133,00078,2024/03/14,2,140
00049,00949,00072,00004,2024/06/20,9,270
00050,00624,00299,00047,2024/10/30,2,120
00051,00344,00084,00049,2024/07/06,6,360
00052,00713,00063,00033,2024/08/01,2,140
00053,00340,00097,00007,2024/08/09,7,490
00054,00521,00075,00028,2024/09/27,1,90
00055,00496,00056,00098,2024/01/05,5,150
00056,00542,00178,00008,2024/02/14,7,490
00057,00151,00236,00009,2024/03/30,3,90
00058,00293,00091,00084,2024/01/26,7,210
00059,00655,00190,00026,2024/08/20,6,300
00060,00611,00082,00045,2024/09/13,3,210
00061,00202,00220,00049,2024/10/14,7,350
00062,00129,00150,00066,2024/01/12,9,360
00063,00549,00109,00064,2024/11/19,5,400
00064,00362,00164,00074,2024/02/21,6,540
00065,00726,00157,00033,2024/08/14,5,400
00066,00034,00296,00075,2024/10/18,4,360
00067,00270,00092,00089,2024/03/30,8,240
00068,00597,00286,00028,2024/06/07,4,120
00069,00300,00051,00001,2024/06/15,3,240
00070,00054,00142,00037,2024/04/06,3,150
00071,00070,00141,00036,2024/05/02,5,250
00072,00258,00020,00023,2024/05/31,2,60
00073,00381,00040,00100,2024/04/06,4,400
00074,00623,00241,00072,2024/06/24,9,450
00075,00576,00191,00041,2024/07/07,8,480
00076,00388,00269,00042,2024/04/21,2,180
00077,00399,00287,00063,2024/09/09,6,180
00078,00521,00128,00097,2024/08/10,6,360
00079,00886,00054,00051,2024/08/04,3,240
00080,00028,00273,00016,2024/04/10,2,160
00081,00969,00178,00008,2024/09/09,3,300
00082,00556,00198,00028,2024/09/28,1,60
00083,00035,00122,00010,2024/12/17,2,100
00084,00305,00022,00073,2024/10/12,1,70
00085,00718,00273,00016,2024/02/23,3,210
00086,00019,00060,00100,2024/04/19,4,200
00087,00369,00174,00041,2024/08/03,8,480
00088,00201,00005,00065,2024/06/07,1,40
00089,00137,00157,00033,2024/03/18,6,420
00090,00018,00261,00051,2024/11/27,2,140
00091,00402,00276,00080,2024/05/12,1,40
00092,00444,00238,00024,2024/07/11,2,200
00093,00328,00293,00030,2024/01/17,1,80
00094,00922,00237,00001,2024/08/28,9,810
00095,00658,00070,00044,2024/12/25,7,420
00096,00113,00162,00015,2024/12/29,5,450
00097,00524,00297,00013,2024/04/11,1,100
00098,00530,00072,00004,2024/12/20,1,60
