SupplierEvaluationID,SuppliedQuantity,ProductID,TimeID,SupplerID
00001,50,00001,2024/01/01,00010
00002,50,00002,2024/01/01,00038
00003,50,00003,2024/01/01,00008
00004,50,00004,2024/01/01,00091
00005,50,00005,2024/01/01,00065
00006,50,00006,2024/01/01,00074
00007,50,00007,2024/01/01,00097
00008,150,00008,2024/01/01,00068
00009,50,00009,2024/01/01,00002
00010,50,00010,2024/01/01,00012
00011,50,00011,2024/01/01,00077
00012,50,00012,2024/01/01,00078
00013,50,00013,2024/01/01,00058
00014,50,00014,2024/01/01,00006
00015,50,00015,2024/01/01,00050
00016,150,00016,2024/01/01,00032
00017,50,00017,2024/01/01,00085
00018,50,00018,2024/01/01,00093
00019,50,00019,2024/01/01,00095
00020,50,00020,2024/01/01,00023
00021,250,00021,2024/01/01,00079
00022,50,00022,2024/01/01,00073
00023,50,00023,2024/01/01,00061
00024,50,00024,2024/01/01,00036
00025,150,00025,2024/01/01,00037
00026,150,00026,2024/01/01,00043
00027,150,00027,2024/01/01,00062
00028,250,00028,2024/01/01,00056
00029,50,00029,2024/01/01,00099
00030,250,00030,2024/01/01,00009
00031,250,00031,2024/01/01,00001
00032,50,00032,2024/01/01,00024
00033,50,00033,2024/01/01,00066
00034,50,00034,2024/01/01,00051
00035,50,00035,2024/01/01,00072
00036,50,00036,2024/01/01,00098
00037,50,00037,2024/01/01,00031
00038,250,00038,2024/01/01,00070
00039,50,00039,2024/01/01,00005
00040,50,00040,2024/01/01,00100
00041,50,00041,2024/01/01,00080
00042,50,00042,2024/01/01,00042
00043,250,00043,2024/01/01,00033
00044,150,00044,2024/01/01,00046
00045,150,00045,2024/01/01,00017
00046,50,00046,2024/01/01,00043
00047,250,00047,2024/01/01,00062
00048,250,00048,2024/01/01,00056
00049,50,00049,2024/01/01,00099
00050,50,00050,2024/01/01,00009
00051,50,00051,2024/01/01,00001
00052,50,00052,2024/01/01,00024
00053,50,00053,2024/01/01,00066
00054,50,00054,2024/01/01,00051
00055,50,00055,2024/01/01,00072
00056,50,00056,2024/01/01,00098
00057,50,00057,2024/01/01,00031
00058,50,00058,2024/01/01,00070
00059,50,00059,2024/01/01,00005
00060,150,00060,2024/01/01,00100
00061,50,00061,2024/01/01,00080
00062,50,00062,2024/01/01,00042
00063,50,00063,2024/01/01,00033
00064,150,00064,2024/01/01,00046
00065,50,00065,2024/01/01,00017
00066,150,00066,2024/01/01,00016
00067,250,00067,2024/01/01,00086
00068,50,00068,2024/01/01,00029
00069,50,00069,2024/01/01,00080
00070,50,00070,2024/01/01,00044
00071,50,00071,2024/01/01,00022
00072,50,00072,2024/01/01,00004
00073,50,00073,2024/01/01,00007
00074,50,00074,2024/01/01,00019
00075,250,00075,2024/01/01,00028
00076,150,00076,2024/01/01,00063
00077,50,00077,2024/01/01,00087
00078,150,00078,2024/01/01,00011
00079,50,00079,2024/01/01,00090
00080,50,00080,2024/01/01,00048
00081,50,00081,2024/01/01,00055
00082,50,00082,2024/01/01,00045
00083,250,00083,2024/01/01,00034
00084,150,00084,2024/01/01,00049
00085,50,00085,2024/01/01,00088
00086,250,00086,2024/01/01,00052
00087,150,00087,2024/01/01,00039
00088,50,00088,2024/01/01,00027
00089,50,00089,2024/01/01,00020
00090,50,00090,2024/01/01,00040
00091,150,00091,2024/01/01,00084
00092,150,00092,2024/01/01,00089
00093,50,00093,2024/01/01,00067
00094,150,00094,2024/01/01,00081
00095,50,00095,2024/01/01,00092
00096,50,00096,2024/01/01,00069
00097,50,00097,2024/01/01,00007
00098,50,00098,2024/01/01,00019
00099,150,00099,2024/01/01,00028
00100,150,00100,2024/01/01,00063
00101,150,00101,2024/01/01,00087
00102,250,00102,2024/01/01,00021
00103,50,00103,2024/01/01,00025
00104,250,00104,2024/01/01,00083
00105,50,00105,2024/01/01,00038
00106,150,00106,2024/01/01,00008
00107,50,00107,2024/01/01,00091
00108,250,00108,2024/01/01,00050
00109,50,00109,2024/01/01,00064
00110,50,00110,2024/01/01,00060
00111,50,00111,2024/01/01,00015
00112,250,00112,2024/01/01,00002
00113,50,00113,2024/01/01,00012
00114,50,00114,2024/01/01,00077
00115,50,00115,2024/01/01,00094
00116,50,00116,2024/01/01,00058
00117,150,00117,2024/01/01,00006
00118,250,00118,2024/01/01,00026
00119,50,00119,2024/01/01,00041
00120,50,00120,2024/01/01,00053
00121,50,00121,2024/01/01,00003
00122,50,00122,2024/01/01,00010
00123,50,00123,2024/01/01,00038
00124,50,00124,2024/01/01,00008
00125,150,00125,2024/01/01,00091
00126,250,00126,2024/01/01,00065
00127,50,00127,2024/01/01,00074
00128,50,00128,2024/01/01,00097
00129,50,00129,2024/01/01,00068
00130,150,00130,2024/01/01,00002
00131,50,00131,2024/01/01,00012
00132,50,00132,2024/01/01,00077
00133,50,00133,2024/01/01,00078
00134,50,00134,2024/01/01,00058
00135,50,00135,2024/01/01,00006
00136,50,00136,2024/01/01,00026
00137,150,00137,2024/01/01,00041
00138,50,00138,2024/01/01,00053
00139,150,00139,2024/01/01,00003
00140,50,00140,2024/01/01,00061
00141,150,00141,2024/01/01,00036
00142,50,00142,2024/01/01,00037
00143,50,00143,2024/01/01,00043
00144,50,00144,2024/01/01,00062
00145,50,00145,2024/01/01,00056
00146,50,00146,2024/01/01,00099
00147,50,00147,2024/01/01,00009
00148,50,00148,2024/01/01,00001
00149,50,00149,2024/01/01,00024
00150,50,00150,2024/01/01,00066
00151,50,00151,2024/03/01,00051
00152,50,00152,2024/03/01,00072
00153,50,00153,2024/03/01,00098
00154,250,00154,2024/03/01,00031
00155,150,00155,2024/03/01,00070
00156,50,00156,2024/03/01,00005
00157,50,00157,2024/03/01,00033
00158,50,00158,2024/03/01,00046
00159,50,00159,2024/03/01,00050
00160,150,00160,2024/03/01,00064
00161,250,00161,2024/03/01,00060
00162,50,00162,2024/03/01,00015
00163,50,00163,2024/03/01,00065
00164,50,00164,2024/03/01,00074
00165,50,00165,2024/03/01,00097
00166,150,00166,2024/03/01,00068
00167,50,00167,2024/03/01,00002
00168,250,00168,2024/03/01,00012
00169,50,00169,2024/03/01,00077
00170,250,00170,2024/03/01,00078
00171,50,00171,2024/03/01,00058
