DateID,Year,Month,Quarter,Week,DayOfWeek,Holiday
2024/01/01,2024,1,Q1,1,Monday,TRUE
2024/01/02,2024,1,Q1,1,Tuesday,FALSE
2024/01/03,2024,1,Q1,1,Wednesday,FALSE
2024/01/04,2024,1,Q1,1,Thursday,FALSE
2024/01/05,2024,1,Q1,1,Friday,FALSE
2024/01/06,2024,1,Q1,1,Saturday,FALSE
2024/01/07,2024,1,Q1,1,Sunday,FALSE
2024/01/08,2024,1,Q1,2,Monday,FALSE
2024/01/09,2024,1,Q1,2,Tuesday,FALSE
2024/01/10,2024,1,Q1,2,Wednesday,FALSE
2024/01/11,2024,1,Q1,2,Thursday,FALSE
2024/01/12,2024,1,Q1,2,Friday,FALSE
2024/01/13,2024,1,Q1,2,Saturday,FALSE
2024/01/14,2024,1,Q1,2,Sunday,FALSE
2024/01/15,2024,1,Q1,3,Monday,TRUE
2024/01/16,2024,1,Q1,3,Tuesday,FALSE
2024/01/17,2024,1,Q1,3,Wednesday,FALSE
2024/01/18,2024,1,Q1,3,Thursday,FALSE
2024/01/19,2024,1,Q1,3,Friday,FALSE
2024/01/20,2024,1,Q1,3,Saturday,FALSE
2024/01/21,2024,1,Q1,3,Sunday,FALSE
2024/01/22,2024,1,Q1,4,Monday,FALSE
2024/01/23,2024,1,Q1,4,Tuesday,FALSE
2024/01/24,2024,1,Q1,4,Wednesday,FALSE
2024/01/25,2024,1,Q1,4,Thursday,FALSE
2024/01/26,2024,1,Q1,4,Friday,FALSE
2024/01/27,2024,1,Q1,4,Saturday,FALSE
2024/01/28,2024,1,Q1,4,Sunday,FALSE
2024/01/29,2024,1,Q1,5,Monday,FALSE
2024/01/30,2024,1,Q1,5,Tuesday,FALSE
2024/01/31,2024,1,Q1,5,Wednesday,FALSE
2024/02/01,2024,2,Q1,5,Thursday,FALSE
2024/02/02,2024,2,Q1,5,Friday,FALSE
2024/02/03,2024,2,Q1,5,Saturday,FALSE
2024/02/04,2024,2,Q1,5,Sunday,FALSE
2024/02/05,2024,2,Q1,6,Monday,FALSE
2024/02/06,2024,2,Q1,6,Tuesday,FALSE
2024/02/07,2024,2,Q1,6,Wednesday,FALSE
2024/02/08,2024,2,Q1,6,Thursday,FALSE
2024/02/09,2024,2,Q1,6,Friday,FALSE
2024/02/10,2024,2,Q1,6,Saturday,FALSE
2024/02/11,2024,2,Q1,6,Sunday,FALSE
2024/02/12,2024,2,Q1,7,Monday,FALSE
2024/02/13,2024,2,Q1,7,Tuesday,FALSE
2024/02/14,2024,2,Q1,7,Wednesday,FALSE
2024/02/15,2024,2,Q1,7,Thursday,FALSE
2024/02/16,2024,2,Q1,7,Friday,FALSE
2024/02/17,2024,2,Q1,7,Saturday,FALSE
2024/02/18,2024,2,Q1,7,Sunday,FALSE
2024/02/19,2024,2,Q1,8,Monday,TRUE
2024/02/20,2024,2,Q1,8,Tuesday,FALSE
2024/02/21,2024,2,Q1,8,Wednesday,FALSE
2024/02/22,2024,2,Q1,8,Thursday,FALSE
2024/02/23,2024,2,Q1,8,Friday,FALSE
2024/02/24,2024,2,Q1,8,Saturday,FALSE
2024/02/25,2024,2,Q1,8,Sunday,FALSE
2024/02/26,2024,2,Q1,9,Monday,FALSE
2024/02/27,2024,2,Q1,9,Tuesday,FALSE
2024/02/28,2024,2,Q1,9,Wednesday,FALSE
2024/02/29,2024,2,Q1,9,Thursday,FALSE
2024/03/01,2024,3,Q1,9,Friday,FALSE
2024/03/02,2024,3,Q1,9,Saturday,FALSE
2024/03/03,2024,3,Q1,9,Sunday,FALSE
2024/03/04,2024,3,Q1,10,Monday,FALSE
2024/03/05,2024,3,Q1,10,Tuesday,FALSE
2024/03/06,2024,3,Q1,10,Wednesday,FALSE
2024/03/07,2024,3,Q1,10,Thursday,FALSE
2024/03/08,2024,3,Q1,10,Friday,FALSE
2024/03/09,2024,3,Q1,10,Saturday,FALSE
2024/03/10,2024,3,Q1,10,Sunday,FALSE
2024/03/11,2024,3,Q1,11,Monday,FALSE
2024/03/12,2024,3,Q1,11,Tuesday,FALSE
2024/03/13,2024,3,Q1,11,Wednesday,FALSE
2024/03/14,2024,3,Q1,11,Thursday,FALSE
2024/03/15,2024,3,Q1,11,Friday,FALSE
2024/03/16,2024,3,Q1,11,Saturday,FALSE
2024/03/17,2024,3,Q1,11,Sunday,FALSE
2024/03/18,2024,3,Q1,12,Monday,FALSE
2024/03/19,2024,3,Q1,12,Tuesday,FALSE
2024/03/20,2024,3,Q1,12,Wednesday,FALSE
2024/03/21,2024,3,Q1,12,Thursday,FALSE
2024/03/22,2024,3,Q1,12,Friday,FALSE
2024/03/23,2024,3,Q1,12,Saturday,FALSE
2024/03/24,2024,3,Q1,12,Sunday,FALSE
2024/03/25,2024,3,Q1,13,Monday,FALSE
2024/03/26,2024,3,Q1,13,Tuesday,FALSE
2024/03/27,2024,3,Q1,13,Wednesday,FALSE
2024/03/28,2024,3,Q1,13,Thursday,FALSE
2024/03/29,2024,3,Q1,13,Friday,FALSE
2024/03/30,2024,3,Q1,13,Saturday,FALSE
2024/03/31,2024,3,Q1,13,Sunday,FALSE
2024/04/01,2024,4,Q2,14,Monday,FALSE
2024/04/02,2024,4,Q2,14,Tuesday,FALSE
2024/04/03,2024,4,Q2,14,Wednesday,FALSE
2024/04/04,2024,4,Q2,14,Thursday,FALSE
2024/04/05,2024,4,Q2,14,Friday,FALSE
2024/04/06,2024,4,Q2,14,Saturday,FALSE
2024/04/07,2024,4,Q2,14,Sunday,FALSE
2024/04/08,2024,4,Q2,15,Monday,FALSE
2024/04/09,2024,4,Q2,15,Tuesday,FALSE
2024/04/10,2024,4,Q2,15,Wednesday,FALSE
2024/04/11,2024,4,Q2,15,Thursday,FALSE
2024/04/12,2024,4,Q2,15,Friday,FALSE
2024/04/13,2024,4,Q2,15,Saturday,FALSE
2024/04/14,2024,4,Q2,15,Sunday,FALSE
2024/04/15,2024,4,Q2,16,Monday,FALSE
2024/04/16,2024,4,Q2,16,Tuesday,FALSE
2024/04/17,2024,4,Q2,16,Wednesday,FALSE
2024/04/18,2024,4,Q2,16,Thursday,FALSE
2024/04/19,2024,4,Q2,16,Friday,FALSE
2024/04/20,2024,4,Q2,16,Saturday,FALSE
2024/04/21,2024,4,Q2,16,Sunday,FALSE
2024/04/22,2024,4,Q2,17,Monday,FALSE
2024/04/23,2024,4,Q2,17,Tuesday,FALSE
2024/04/24,2024,4,Q2,17,Wednesday,FALSE
2024/04/25,2024,4,Q2,17,Thursday,FALSE
2024/04/26,2024,4,Q2,17,Friday,FALSE
